"row","continent","location","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","hospital_beds_per_thousand","life_expectancy","human_development_index","total_cases","new_cases","total_deaths","positive_rate","stringency_index","reproduction_rate","Tot_dead_pop","incidence"
"4","Africa","Algeria","43851043","17.348","29.1","6.211","3.857","13913.839","0.5","278.364","6.73","0.7","30.4","1.9","76.88","0.748","54097.22381","285.25","1684.70983","0.070072369","70.46350638","1.045159359","1.595704751","123.3658771"
"6","Africa","Angola","32866268","23.89","16.8","2.405","1.362","5819.495","39.96770012","276.045","3.94","1.977111775","20.67004302","1.037854413","61.15","0.581","9100.239899","61.91414141","238.4424538","0.065996225","69.56610078","1.091463295","0.916713363","27.68869255"
"22","Africa","Benin","12123198","99.11","18.8","3.244","1.942","2064.236","49.6","235.848","0.99","0.6","12.3","0.5","61.77","0.545","2622.82","19.0275","59.05248317","0.066281142","43.290575","0.988406727","0.768714434","21.63472048"
"27","Africa","Botswana","2351625","4.044","25.8","3.941","2.242","15807.374","20.97429678","237.372","4.81","5.7","34.4","1.8","69.59","0.735","10628.67876","115.8082902","98.15388601","0.118429014","60.45771144","1.096941902","1.630821808","451.971669"
"31","Africa","Burkina Faso","20903278","70.151","17.6","2.409","1.358","1703.102","43.7","269.048","2.42","1.6","23.9","0.4","61.58","0.452","4225.123153","32.38423645","82.08936915","0.079556714","37.91883997","1.015371628","0.692591824","20.21273005"
"32","Africa","Burundi","11890781","423.062","17.5","2.562","1.504","702.225","71.7","293.068","6.05","2.761496537","22.1445511","0.8","61.58","0.433","844.9064935","9.031168831","6.346382059","0.072958468","16.94569951","1.010898198","0.185746901","7.105559286"
"34","Africa","Cameroon","26545864","50.885","18.8","3.165","1.919","3364.926","23.8","244.661","7.2","1.811148858","18.82398973","1.3","59.29","0.563","20529.86585","158.0707317","384.5561798","0.074887756","46.50157353","0.876900795","1.189952771","77.33734283"
"36","Africa","Cape Verde","555988","135.58","25.7","4.46","3.437","6222.554","24.51461924","182.219","2.42","2.1","16.5","2.1","72.98","0.665","7313.537879","52.08838384","71.84111578","0.139732085","68.35534466","1.084487207","2.114655775","1315.412901"
"38","Africa","Central African Republic","4829764","7.479","18.3","3.655","2.251","661.24","36.13565231","435.727","6.1","2.62220866","22.98910651","1","53.28","0.397","3765.516209","14.43142145","62.15960804","0.066736137","42.20063468","0.713022692","1.142079997","77.96480758"
"39","Africa","Chad","16425859","11.833","16.7","2.486","1.446","1768.153","38.4","280.995","6.1","3.234664988","27.60552286","1.471113228","54.24","0.398","1736.65995","11.85894207","129.6949418","0.067403241","60.11751639","0.980901777","0.949183953","10.57271921"
"43","Africa","Comoros","869595","437.352","20.4","2.963","1.726","1413.89","18.1","261.516","11.88","4.4","23.6","2.2","64.32","0.554","1198.91831","10.75774648","38.62056338","0.079275195","59.59364052","0.847938481","1.657171842","137.8708836"
"44","Africa","Congo","5518092","15.405","19","3.402","2.063","4881.406","37","344.094","7.2","1.7","52.3","1.640665944","64.57","0.574","4598.922693","25.14713217","82.98759234","0.053187628","59.05830377","0.611941311","1.205182228","83.34262446"
"46","Africa","Cote d'Ivoire","26378275","76.399","18.7","2.933","1.582","3601.006","28.2","303.74","2.42","1.447693758","21.03250275","0.984784939","57.78","0.538","18262.76049","112.5185185","114.2717201","0.085605321","40.72007133","1.075378696","0.72689333","69.23409696"
"52","Africa","Democratic Republic of Congo","89561404","35.879","17","3.02","1.745","808.133","77.1","318.949","6.1","2.863537333","21.68992922","0.93601031","60.68","0.48","12189.25432","71.4962963","340.276053","0.171770364","48.89940359","1.07238132","0.681183365","13.60994109"
"54","Africa","Djibouti","988002","41.285","25.4","4.213","2.38","2705.406","22.5","258.037","6.05","1.7","24.5","1.4","67.11","0.524","4868.037688","26.40703518","59.98243203","0.078821849","52.86879404","1.061342194","1.790361463","492.7153678"
"58","Africa","Egypt","102334403","97.999","25.3","5.159","2.891","10550.206","1.3","525.432","17.31","0.2","50.1","1.6","71.99","0.707","94264.51508","503.9118329","5290.18041","0.087613896","60.60524362","1.088523317","1.721769686","92.11419847"
"60","Africa","Equatorial Guinea","1402985","45.194","22.4","2.846","1.752","22604.873","40.19267244","202.812","7.78","3.452179034","24.43259244","2.1","58.74","0.592","4004.201995","18.10224439","64.38203884","0.061093636","48.16982898","0.74504242","1.671074009","285.4059021"
"61","Africa","Eritrea","3546427","44.304","19.3","3.607","2.171","1510.459","41.82939307","311.11","6.05","0.2","11.4","0.7","66.32","0.459","941.1772152","8.95443038","124.6754242","0.031834282","86.19387346","0.830923407","1.558171018","26.53874492"
"63","Africa","Eswatini","1160164","79.492","21.5","3.163","1.845","7738.975","37.62599717","333.436","3.94","1.7","16.5","2.1","60.19","0.611","6620.641791","45.81343284","206.8942705","0.099372974","69.28351509","1.003872518","2.253657592","570.6643019"
"64","Africa","Ethiopia","114963583","104.957","19.8","3.526","2.063","1729.927","26.7","182.634","7.47","0.4","8.5","0.3","66.6","0.485","76738.93052","604.5434243","1236.082446","0.084029177","62.84858345","1.090255434","1.070109855","66.7506427"
"72","Africa","Gabon","2225728","7.859","23.1","4.45","2.976","16562.413","3.4","259.967","7.2","4.758510651","44.14711598","6.3","66.47","0.703","8212.298507","54.80597015","55.30843691","0.094766984","72.22592027","1.16469715","1.412453725","368.9713436"
"73","Africa","Gambia","2416664","207.566","17.5","2.339","1.417","1561.767","10.1","331.43","1.91","0.7","31.2","1.1","62.05","0.496","2541.122807","14.3358396","82.9256232","0.069071806","59.50368569","0.885192439","1.547948005","105.1500253"
"76","Africa","Ghana","31072945","126.719","21.1","3.385","1.948","4227.63","12","298.245","4.97","0.3","7.7","0.9","64.07","0.611","42455.699","228.1318408","288.4494163","0.083532288","49.33507783","1.135199561","1.012118841","136.632363"
"83","Africa","Guinea","13132792","51.755","19","3.135","1.733","1998.926","35.3","336.717","2.42","2.178039838","21.4885867","0.3","61.6","0.477","9825.129032","53.62779156","76.18790067","0.055104146","60.57778181","1.08373722","0.832595016","74.81371084"
"84","Africa","Guinea-Bissau","1967998","66.191","19.4","3.002","1.565","1548.675","67.1","382.474","2.42","2.813248312","22.48893403","0.96062227","58.32","0.48","2107.700767","9.493606138","33.72762131","0.074673514","50.49708257","0.658800307","1.258590269","107.098725"
"105","Africa","Kenya","53771300","87.324","20","2.686","1.528","2993.028","36.8","218.637","2.92","1.2","20.4","1.4","66.7","0.601","52028.33807","372.0767617","942.4893145","0.070978736","68.98523873","1.086644331","1.267822425","96.75856464"
"112","Africa","Lesotho","2142252","73.562","22.2","4.506","2.647","2851.153","59.6","405.126","3.94","0.4","53.9","1.377719174","54.33","0.527","3726.520468","31.34502924","108.2944381","0.07134325","60.39121256","0.938871932","1.712242825","173.953413"
"113","Africa","Liberia","5057677","49.127","19.2","3.057","1.756","752.788","38.6","272.509","2.42","1.5","18.1","0.8","64.1","0.48","1228.9875","5.105","78.01923609","0.068399682","59.95972496","0.754872977","1.215529261","24.29944617"
"114","Africa","Libya","6871287","3.623","29","4.424","2.816","17881.509","4.949910293","341.862","10.43","4.127775301","44.71426242","3.7","72.91","0.724","58057.5404","436.5736787","941.2232228","0.156638457","82.73570388","1.127035153","2.139813543","844.9296384"
"119","Africa","Madagascar","27691019","43.951","19.6","2.929","1.686","1416.44","77.6","405.994","3.94","3.446165621","25.0897594","0.2","67.04","0.528","12723.32576","82.82323232","206.6615643","0.151351182","54.61154159","0.874057556","0.927530808","45.94748124"
"120","Africa","Malawi","19129955","197.519","18.1","2.979","1.783","1095.042","71.4","227.349","3.94","4.4","24.7","1.3","64.26","0.483","10168.81189","97.09819121","319.9974158","0.090789443","54.01291148","1.057282238","1.248648894","53.1564862"
"123","Africa","Mali","20250834","15.196","16.4","2.519","1.486","2014.306","42.81348037","268.024","2.42","1.6","23","0.1","59.31","0.434","4383.255754","33.61892583","177.7023018","0.045510789","50.07148938","1.0898823","0.990119472","21.64481598"
"126","Africa","Mauritania","4649660","4.289","20.3","3.138","1.792","3597.633","6","232.347","2.42","4.005077423","31.56307191","1.522894498","64.92","0.546","8350.074627","45.12935323","207.6580489","0.061444987","47.88995475","1.040974823","1.659544567","179.5846283"
"127","Africa","Mauritius","1271767","622.962","37.4","10.945","5.884","20292.745","0.5","224.644","22.02","3.2","40.7","3.4","74.99","0.804","465.1683417","3.022613065","12.09018952","0.029304155","39.40839196","0.435495581","1.021462503","36.57653813"
"135","Africa","Morocco","36910558","80.08","29.6","6.769","4.209","7485.013","1","419.146","7.14","0.8","47.1","1.1","76.68","0.686","192791.975","1160.694911","3367.248023","0.089347293","68.79157534","1.076545318","1.964859173","522.3220278"
"136","Africa","Mozambique","31255435","37.728","17.7","3.158","1.87","1136.103","62.9","329.942","3.3","5.1","29.1","0.7","60.85","0.456","18203.20558","175.7055838","192.9032887","0.095215531","59.73050761","1.083501516","0.855630098","58.24012873"
"138","Africa","Namibia","2540916","3.078","22","3.552","2.085","9541.808","13.4","243.811","3.94","9.7","34.2","1.267399597","63.71","0.646","14683.40547","116.3507463","176.3797312","0.095106943","51.47724014","1.062766949","1.847670152","577.8784293"
"144","Africa","Niger","24206636","16.955","15.1","2.553","1.378","926","44.5","238.339","2.42","0.1","15.4","0.3","62.42","0.394","2109.30303","12.95707071","90.26641682","0.052130979","31.18207811","0.896838274","0.674768825","8.713738786"
"145","Africa","Nigeria","206139587","209.588","18.1","2.751","1.447","5338.454","40.32720003","181.013","2.42","0.6","10.8","0.989765766","54.69","0.539","64246.26859","394.0119904","1019.179126","0.101820294","60.61105573","1.039840169","0.774087664","31.16639047"
"164","Africa","Rwanda","12952209","494.869","20.3","2.974","1.642","1854.211","56","191.375","4.28","4.7","21","1.23868836","69.02","0.543","6823.037313","59.53731343","86.44342044","0.015768003","71.20191542","1.046830231","0.885023445","52.67856095"
